arch,domain,concept,beta,dh_norm,locus,placement,cos_probe,cos_random,cos_cad,cos_cad_nospec,cos_sham
llava15_7b,general,effusion,0.05,0.5227,vis.last,anatomical,-0.0121,-0.0393,nan,nan,nan
llava15_7b,general,effusion,0.05,0.5882,connector,anatomical,0.0,0.0316,0.0171,0.0439,-0.0001
llava15_7b,general,effusion,0.05,0.6268,llm.L8.vis,anatomical,-0.0019,0.0073,0.0006,nan,0.0119
llava15_7b,general,effusion,0.05,0.659,llm.L16.vis,anatomical,0.0011,-0.0181,-0.0081,nan,-0.0086
llava15_7b,general,effusion,0.05,0.9966,llm.L24.vis,anatomical,0.0037,0.0031,-0.0166,nan,0.0126
llava15_7b,general,effusion,0.1,0.7249,vis.last,anatomical,-0.011,-0.0043,nan,nan,nan
llava15_7b,general,effusion,0.1,0.7764,connector,anatomical,-0.0016,0.0136,0.0196,0.0434,0.0111
llava15_7b,general,effusion,0.1,0.8132,llm.L8.vis,anatomical,-0.001,0.0085,0.0111,nan,0.0113
llava15_7b,general,effusion,0.1,0.8842,llm.L16.vis,anatomical,-0.0007,-0.0069,0.0101,nan,-0.0124
llava15_7b,general,effusion,0.1,1.4304,llm.L24.vis,anatomical,0.0087,0.0054,-0.0191,nan,0.0112
llava15_7b,general,effusion,0.2,1.1174,vis.last,anatomical,-0.0001,-0.0081,nan,nan,nan
llava15_7b,general,effusion,0.2,1.1099,connector,anatomical,-0.0015,0.0022,0.0209,0.0421,0.0125
llava15_7b,general,effusion,0.2,1.0324,llm.L8.vis,anatomical,-0.0009,-0.0026,0.0209,nan,0.001
llava15_7b,general,effusion,0.2,1.163,llm.L16.vis,anatomical,0.0005,-0.0045,0.0201,nan,-0.0079
llava15_7b,general,effusion,0.2,2.0596,llm.L24.vis,anatomical,0.0076,0.0139,-0.0178,nan,0.0052
llava15_7b,general,effusion,0.3,1.3923,vis.last,anatomical,0.0082,-0.0449,nan,nan,nan
llava15_7b,general,effusion,0.3,1.2643,connector,anatomical,-0.0011,-0.0001,0.0184,0.0404,0.0073
llava15_7b,general,effusion,0.3,1.1577,llm.L8.vis,anatomical,-0.0009,-0.0053,0.0182,nan,0.0035
llava15_7b,general,effusion,0.3,1.3504,llm.L16.vis,anatomical,0.0004,-0.0078,0.0238,nan,-0.0061
llava15_7b,general,effusion,0.3,2.4704,llm.L24.vis,anatomical,0.0065,0.0175,-0.0173,nan,0.0051
