run_id,model_key,dataset_id,module,locus_id,fit_seed,template_id,concept,expected_rows,actual_unique_rows,failed_rows,execution_status,baseline_module,baseline_fit_seed,reason
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ANSDIRT,vis.last,0,WB,car,4800,4800,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ANSDIRT,vis.last,0,WB,chair,4800,4800,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ANSDIRT,vis.last,0,WB,bottle,4800,4800,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ANSDIRT,vis.last,0,WB,bicycle,4800,4800,0,COMPLETE,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,VALID,vis.last,,,,0,0,0,NOT_REQUESTED,,,module not requested for this dataset by protocol
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ATTRRAND,vis.last,,,,0,0,0,NOT_REQUESTED,ATTR,,module not requested for this dataset by protocol
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,ATTRQ,vis.last,,,,0,0,0,NOT_REQUESTED,,,module not requested for this dataset by protocol
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,VALIDFIT,vis.last,,,,0,0,0,NOT_REQUESTED,CORE,,module not requested for this dataset by protocol
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,PROJSEED,vis.last,1,IY,person,75600,0,0,NOT_STARTED,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,PROJSEED,vis.last,2,IY,person,75600,0,0,NOT_STARTED,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,PROJSEED,vis.last,1,IY,dog,75600,0,0,NOT_STARTED,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,PROJSEED,vis.last,2,IY,dog,75600,0,0,NOT_STARTED,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,PROJSEED,vis.last,1,IY,car,75600,0,0,NOT_STARTED,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,PROJSEED,vis.last,2,IY,car,75600,0,0,NOT_STARTED,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,PROJSEED,vis.last,1,IY,chair,75600,0,0,NOT_STARTED,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,PROJSEED,vis.last,2,IY,chair,75600,0,0,NOT_STARTED,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,PROJSEED,vis.last,1,IY,bottle,75600,0,0,NOT_STARTED,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,PROJSEED,vis.last,2,IY,bottle,75600,0,0,NOT_STARTED,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,PROJSEED,vis.last,1,IY,bicycle,75600,0,0,NOT_STARTED,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,PROJSEED,vis.last,2,IY,bicycle,75600,0,0,NOT_STARTED,CORE,0,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,TOWERSWAP,vis.last,0,IY,person,25400,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,TOWERSWAP,vis.last,0,IY,dog,25400,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,TOWERSWAP,vis.last,0,IY,car,25400,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,TOWERSWAP,vis.last,0,IY,chair,25400,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,TOWERSWAP,vis.last,0,IY,bottle,25400,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,TOWERSWAP,vis.last,0,IY,bicycle,25400,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,TOWERSWAPD,vis.last,0,IY,person,25400,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,TOWERSWAPD,vis.last,0,IY,dog,25400,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,TOWERSWAPD,vis.last,0,IY,car,25400,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,TOWERSWAPD,vis.last,0,IY,chair,25400,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,TOWERSWAPD,vis.last,0,IY,bottle,25400,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,TOWERSWAPD,vis.last,0,IY,bicycle,25400,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,REPLAY,vis.last,0,IY,person,25400,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,REPLAY,vis.last,0,IY,dog,25400,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,REPLAY,vis.last,0,IY,car,25400,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,REPLAY,vis.last,0,IY,chair,25400,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,REPLAY,vis.last,0,IY,bottle,25400,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,REPLAY,vis.last,0,IY,bicycle,25400,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,SEMEND,vis.last,0,NY,person,19800,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,SEMEND,vis.last,0,NY,dog,19800,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,SEMEND,vis.last,0,NY,car,19800,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,SEMEND,vis.last,0,NY,chair,19800,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,SEMEND,vis.last,0,NY,bottle,19800,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,SEMEND,vis.last,0,NY,bicycle,19800,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,SEMEND,vis.last,0,DA,person,19800,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,SEMEND,vis.last,0,DA,dog,19800,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,SEMEND,vis.last,0,DA,car,19800,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,SEMEND,vis.last,0,DA,chair,19800,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,SEMEND,vis.last,0,DA,bottle,19800,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,SEMEND,vis.last,0,DA,bicycle,19800,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,SEMEND,vis.last,0,DB,person,19800,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,SEMEND,vis.last,0,DB,dog,19800,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,SEMEND,vis.last,0,DB,car,19800,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,SEMEND,vis.last,0,DB,chair,19800,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,SEMEND,vis.last,0,DB,bottle,19800,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,SEMEND,vis.last,0,DB,bicycle,19800,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,SEMEND,vis.last,0,RF,person,19800,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,SEMEND,vis.last,0,RF,dog,19800,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,SEMEND,vis.last,0,RF,car,19800,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,SEMEND,vis.last,0,RF,chair,19800,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,SEMEND,vis.last,0,RF,bottle,19800,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,SEMEND,vis.last,0,RF,bicycle,19800,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,FGOBJ,vis.last,0,IY,handbag,76200,0,0,NOT_STARTED,,,
cf-transfer-v1:lingshu-32:coco:mayo,lingshu-32,coco,FGOBJ,vis.last,0,IY,book,76200,0,0,NOT_STARTED,,,
